id;name;mail;website;phone
1;Isle;benchmark;Loan payment;480.573.7062 x219
2;monitor orchid Security;Metal Berkshire optical;drive;1-209-323-1710
3;JBOD Greece Australian;Technician Road;Buckinghamshire SCSI Peso;(406) 257-6381 x561
4;China;relationships monetize next-generation;virtual Concrete;806-948-6344
5;Kentucky;protocol;Bacon architectures;(786) 552-2211 x40752
6;interactive local;Sausages Azerbaijanian;International Montserrat;564.486.6594 x2355
7;AGP viral;unleash Buckinghamshire;Account;(802) 942-7923 x4337
8;Keyboard Frozen;ROI Georgia;Borders;(833) 240-6705
9;Refined Personal;network Soap invoice;Riel Shoes Dale;286.801.1930
10;Avon Soft Generic;Reduced;generating Soap;415-932-1710 x53224
